PWM,Velocidade_rad_s
255,-14.311169
245,-13.740233
235,-13.532751
225,-13.285845
215,-13.001172
205,-12.702892
195,-12.375082
185,-12.139346
175,-11.834697
165,-11.409278
155,-11.019357
145,-10.555718
135,-9.981990
125,-9.232825
115,-8.435867
105,-7.639204
95,-6.553641
85,-5.376189
75,-4.129678
65,-2.745140
55,-1.324191
45,-0.083472
35,0.000000
25,0.000000
15,0.000000
5,0.000000
-5,0.000000
-15,0.000000
-25,0.000000
-35,0.000000
-45,0.000966
-55,1.725754
-65,2.858893
-75,3.868923
-85,4.415310
-95,4.403723
-105,3.392791
-115,2.564583
-125,2.069320
-135,1.458692
-145,1.181203
