PWM,Velocidade_rad_s
-255,-13.415448
-245,-12.531304
-235,-12.235631
-225,-11.986076
-215,-11.680505
-205,-11.362829
-195,-11.362714
-185,-11.362716
-175,-10.340506
-165,-9.923342
-155,-9.593560
-145,-8.965103
-135,-8.622854
-125,-7.767229
-115,-6.911065
-105,-5.957756
-95,-4.823557
-85,-3.644287
-75,-2.452054
-65,-1.045085
-55,0.000000
-45,0.000000
-35,0.000000
-25,0.000000
-15,0.000000
-5,0.000000
5,0.000000
15,0.000000
25,0.000000
35,0.000000
45,0.000000
55,0.000000
65,0.000000
75,0.000000
85,3.149805
95,4.022534
105,4.833939
115,6.053118
125,6.783406
135,7.424359
145,7.968880
155,8.471215
165,9.021962
175,9.377939
185,9.646018
195,9.924816
205,10.281473
215,10.369755
225,10.784317
235,11.018012
245,11.086712
255,11.892477
