t_ms,velocidade_rad_s
19,1.163553
40,3.199770
59,4.799656
80,6.180139
99,7.199483
120,7.999426
140,8.726648
160,9.233855
180,9.670099
200,10.031632
220,10.253810
239,10.544698
260,10.833420
279,10.981031
300,11.199197
319,11.126475
340,11.269665
359,11.196957
380,11.053752
399,11.051542
420,10.981031
440,11.124250
460,11.194719
480,11.199197
500,11.342372
520,11.487788
539,11.490086
560,11.490086
579,11.560495
600,11.708251
619,11.708251
640,11.705909
659,11.846587
680,11.708251
699,11.635529
720,11.126475
740,11.199197
760,11.271920
780,11.490086
800,11.633202
820,11.562808
840,11.562808
860,11.708251
879,11.635529
900,11.708251
919,11.635529
940,11.635529
959,11.633202
980,11.562808
999,11.417364
1020,11.487788
1040,11.635529
1060,11.562808
1080,11.635529
1100,11.780974
1120,11.776263
1140,11.851325
1160,11.853695
1179,11.853695
1200,11.926418
1219,11.926418
1240,11.926418
1259,11.999140
1280,11.999140
1299,11.926418
1320,11.780974
1340,11.780974
1360,11.926418
1380,11.851325
1400,11.853695
1420,11.926418
1440,11.851325
1460,11.853695
1480,11.924033
1500,11.926418
1519,11.924033
1540,11.853695
1559,11.853695
1580,11.926418
1599,11.924033
1620,11.926418
1640,11.924033
1660,11.926418
1680,11.926418
1700,11.999140
1720,11.999140
1740,12.071862
1760,12.071862
1780,12.069448
1800,12.071862
1819,12.144584
1840,12.142155
1859,12.069448
1880,12.212421
1899,12.071862
1920,12.069448
1940,12.071862
1960,12.071862
1980,11.926418
2000,12.069448
2020,12.064622
2040,11.926418
2060,11.924033
2080,11.999140
2100,11.999140
2120,11.926418
2140,11.926418
2159,11.924033
2180,11.924033
2199,11.999140
2220,11.996740
2240,11.924033
2260,11.926418
2280,11.999140
2300,11.999140
2320,11.926418
2340,11.999140
2360,11.999140
2380,11.926418
2400,11.926418
2420,11.999140
2440,11.999140
2459,11.633202
2480,11.635529
2499,11.705909
2520,11.708251
2539,11.780974
2560,11.633202
2580,11.778617
2600,11.780974
2620,11.773908
2640,11.701230
2660,11.705909
2680,11.780974
2700,11.780974
2720,11.778617
2740,11.708251
2760,11.708251
2780,11.780974
2799,11.853695
2820,11.780974
2839,11.853695
2860,11.780974
2880,11.851325
2900,11.853695
2920,11.926418
2940,11.780974
2960,11.851325
2980,11.853695
3000,11.924033
3020,11.853695
3040,11.853695
3060,11.778617
3080,11.924033
3099,11.853695
3120,11.853695
3139,11.924033
3160,11.853695
3180,11.853695
3200,11.924033
3220,11.999140
3240,11.994342
3260,11.926418
3280,12.069448
3300,11.924033
3320,12.071862
3340,12.069448
3360,11.926418
3380,11.999140
3400,11.999140
3420,11.999140
3439,11.996740
3460,11.999140
3480,11.999140
3500,12.069448
3520,11.924033
3540,11.996740
3560,11.926418
3580,11.999140
3600,11.924033
3620,11.924033
3640,11.926418
3660,11.851325
3680,11.853695
3700,11.853695
3720,11.853695
3739,11.853695
3760,11.851325
3780,11.853695
3800,11.853695
3820,11.853695
3840,11.851325
3860,11.926418
3880,11.924033
3900,11.926418
3920,11.996740
3940,11.999140
3960,11.926418
3980,11.926418
4000,11.780974
4020,11.773908
4040,11.635529
4060,11.635529
4080,11.780974
4100,11.635529
4120,11.780974
4140,11.780974
4160,11.633202
4180,11.562808
4200,11.562808
4220,11.490086
4240,11.490086
4260,11.635529
4280,11.705909
4300,11.708251
4320,11.851325
4340,11.778617
4360,11.851325
4380,11.926418
4400,11.853695
4420,11.996740
4440,11.926418
4460,12.071862
4480,11.999140
4500,12.071862
4520,12.142155
4540,12.069448
4560,12.069448
4580,12.142155
4600,12.071862
4620,11.996740
4640,11.926418
4660,11.924033
4681,11.926418
4700,11.924033
4720,11.924033
4740,11.924033
4760,11.926418
4780,11.926418
4800,11.926418
4820,12.069448
4840,11.924033
4860,11.996740
4880,11.999140
4900,12.071862
4920,11.999140
4940,11.999140
4960,12.069448
4981,12.142155
5000,12.069448
5020,12.067035
5040,11.999140
5060,12.214862
5080,12.071862
5100,11.926418
5120,12.069448
5140,11.926418
5160,12.071862
5180,12.064622
5200,11.926418
5220,12.139728
5240,11.996740
5260,12.071862
5281,11.996740
5300,11.999140
5321,12.069448
5340,12.071862
5360,11.996740
5380,11.999140
5400,12.069448
5420,12.071862
5440,12.071862
5460,12.069448
5480,11.999140
5500,11.999140
5520,12.069448
5540,12.069448
5560,12.069448
5581,12.071862
5600,12.071862
5621,12.069448
5640,12.139728
5660,12.069448
5680,12.137301
5700,11.926418
5720,11.996740
5740,11.919265
5760,11.853695
5780,11.635529
5800,11.780974
5820,11.780974
5840,11.780974
5860,11.851325
5881,11.853695
5900,11.924033
5921,12.069448
5940,11.999140
5961,11.996740
5980,12.217307
6000,12.071862
6020,12.071862
6040,12.069448
6060,12.071862
6080,12.071862
6100,12.071862
6120,12.212421
6140,12.071862
6160,12.142155
6181,12.144584
6200,12.071862
6221,12.071862
6240,12.071862
6261,12.071862
6280,12.069448
6300,11.780974
6320,11.780974
6340,11.780974
6360,11.926418
6380,11.926418
6400,11.926418
6420,11.926418
6440,11.926418
6460,12.069448
6481,12.071862
6500,12.214862
6521,12.069448
6540,12.142155
6561,12.144584
6580,12.217307
6601,12.071862
6620,12.069448
6640,12.212421
6660,12.071862
6680,12.137301
6700,12.144584
6720,12.071862
6740,12.071862
6760,12.067035
6781,11.926418
6800,12.071862
6821,11.999140
6840,12.069448
6861,11.999140
6880,12.144584
6901,11.999140
6920,11.924033
6940,11.708251
6960,11.778617
6980,11.853695
7000,11.926418
7020,11.926418
7040,12.064622
7060,11.924033
7081,12.071862
7100,12.069448
7121,12.071862
7140,12.071862
7161,12.071862
7180,12.214862
7201,12.144584
7220,12.144584
7241,12.217307
