t_ms,velocidade_rad_s
19,0.290888
40,0.581776
59,0.799943
80,1.090831
99,1.381443
120,1.599245
140,1.672607
160,1.963496
180,2.036218
200,2.254384
220,2.327106
239,2.326640
260,2.544763
279,2.545272
300,2.617470
319,2.762885
340,2.763438
359,2.762885
380,2.908300
399,2.908882
420,2.908300
440,3.054327
460,3.054327
480,3.053715
500,3.053715
520,3.125798
539,3.126423
560,3.127048
579,3.199770
600,3.199130
619,3.272492
640,3.272492
659,3.272492
680,3.271838
699,3.345215
720,3.272492
740,3.344546
760,3.345215
780,3.344546
800,3.345215
820,3.272492
840,3.417937
860,3.272492
879,3.417253
900,3.345215
919,3.344546
940,3.345215
959,3.344546
980,3.417253
999,3.345215
1020,3.344546
1040,3.417253
1060,3.344546
1080,3.344546
1100,3.345215
1120,3.417253
1140,3.272492
1160,3.417937
1179,3.417253
1200,3.345215
1219,3.345215
1240,3.344546
1259,3.272492
1280,3.345215
1299,3.272492
1320,3.345215
1340,3.199770
1360,3.272492
1380,3.199770
1400,3.199130
1420,3.199770
1440,3.127048
1460,3.199770
1480,3.054327
1500,3.199130
1519,3.054327
1540,3.126423
1559,3.126423
1580,3.127048
1599,3.054327
1620,3.127048
1640,3.054327
1660,3.053715
1680,3.126423
1700,3.053715
1720,3.127048
1740,2.981604
1760,3.126423
1780,3.054327
1800,3.054327
1819,3.127048
1840,3.127048
1859,3.054327
1880,3.053715
1899,3.199770
1920,3.054327
1940,3.199130
1960,3.126423
1980,3.126423
2000,3.054327
2020,3.199130
2040,3.199770
2060,3.199130
2080,3.199770
2100,3.199770
2120,3.199130
2140,3.271838
2159,3.272492
2180,3.271838
2199,3.272492
2220,3.272492
2240,3.272492
2260,3.345215
2280,3.199770
2300,3.272492
2320,3.271838
2340,3.344546
2360,3.199770
2380,3.271838
2400,3.272492
2420,3.272492
2440,3.271838
2459,3.272492
2480,3.272492
2499,3.272492
2520,3.271838
2540,3.345215
2560,3.199770
2580,3.345215
2600,3.199770
2620,3.345215
2640,3.199770
2660,3.345215
2680,3.272492
2700,3.271838
2720,3.344546
2740,3.272492
2760,3.272492
2780,3.345215
2799,3.271838
2820,3.272492
2839,3.345215
2860,3.199770
2880,3.344546
2900,3.272492
2920,3.271838
2940,3.344546
2960,3.272492
2980,3.272492
3000,3.345215
3020,3.271838
3040,3.272492
3060,3.272492
3080,3.271838
3099,3.344546
3120,3.199130
3139,3.345215
3160,3.271838
3180,3.199130
3200,3.271838
3220,3.199130
3240,3.199770
3260,3.199770
3280,3.199770
3300,3.127048
3320,3.127048
3340,3.199130
3360,3.125173
3380,3.126423
3400,3.054327
3420,3.126423
3439,3.126423
3460,3.054327
3480,3.054327
3500,3.054327
3520,3.053715
3540,3.127048
3560,3.127048
3580,3.054327
3600,3.054327
3620,3.054327
3640,3.127048
3660,3.053715
3680,3.054327
3700,2.981008
3720,3.054327
3739,3.054327
3760,3.054327
3780,3.054327
3800,3.054327
3820,3.053715
3840,3.127048
3860,3.127048
3880,3.054327
3900,3.127048
3920,2.981604
3940,2.908882
3960,2.763438
3980,2.763438
4000,2.908882
4020,2.908882
4040,2.908300
4060,2.981604
4080,2.981604
4100,3.054327
4120,3.053715
4140,3.053715
4160,3.126423
4180,3.126423
4200,3.054327
4220,3.199770
4240,3.127048
4260,3.127048
4280,3.199770
4300,3.199130
4320,3.199770
4340,3.199130
4360,3.126423
4380,3.199770
4400,3.199770
4420,3.199770
4440,3.199770
4460,3.271184
4480,3.126423
4500,3.199770
4520,3.199770
4540,3.199130
4560,3.127048
4580,3.199130
4600,3.199770
4620,3.199770
4640,3.199770
4660,3.199130
4680,3.199770
4700,3.199130
4720,3.126423
4740,3.126423
4760,3.199770
4780,3.054327
4800,3.199130
4820,3.126423
4840,3.126423
4860,3.054327
4880,3.199770
4900,3.053715
4920,3.127048
4940,3.127048
4960,3.126423
4980,2.981604
5000,2.908882
5020,2.908882
5040,2.981604
5060,2.981604
5080,2.908300
5100,3.053715
5120,2.981604
5140,3.054327
5160,3.126423
5180,3.054327
5200,3.127048
5220,3.126423
5240,3.054327
5260,3.126423
5280,3.054327
5300,3.127048
5321,3.054327
5340,3.054327
5360,3.054327
5380,3.054327
5400,2.908882
5420,3.053715
5440,2.908882
5460,2.981604
5480,2.981008
5500,2.908300
5520,2.908882
5540,2.908300
5560,2.981604
5580,2.981604
5600,2.908300
5621,2.981604
5640,2.908882
5660,2.981604
5680,2.908300
5700,2.908882
5720,2.836160
5740,2.908882
5760,2.908882
5780,2.908300
5800,2.908300
5820,2.908300
5840,2.908882
5860,2.981604
5880,2.908882
5900,2.908882
5921,2.981604
5940,2.981604
5961,2.908300
5980,2.981604
6000,2.981604
6020,2.908882
6040,2.981008
6060,2.981604
6080,2.981008
6100,2.981604
6120,2.908882
6140,3.053715
6160,2.981604
6180,2.981604
6200,3.054327
6221,2.981604
6240,2.981604
6261,3.054327
6280,3.054327
6300,3.054327
6320,3.054327
6340,3.054327
6360,3.054327
6380,3.054327
6400,3.054327
6420,3.053715
6440,3.053715
6460,3.054327
6480,3.054327
6500,2.908882
6520,2.981604
6540,2.981008
6561,2.981604
6580,2.981008
6601,2.908300
6620,3.053715
6640,3.054327
6660,2.908300
6680,3.054327
6700,2.981604
6720,2.981008
6740,2.908300
6760,2.836160
6780,2.835593
6800,2.908300
6820,2.981604
6840,2.836160
6861,2.908300
6880,2.908300
6901,2.907138
6920,2.836160
6940,2.908300
6960,2.835593
6980,2.908300
7000,2.908300
7020,2.908882
7040,2.836160
7060,2.835593
7080,2.908300
7100,2.908300
7121,2.908882
7140,2.836160
7161,2.908882
7180,2.908882
7201,2.835593
7220,2.908882
7241,2.908882
7260,2.908882
7280,2.908882
7300,2.908300
7320,2.908882
7340,2.908882
7360,2.908300
7380,2.908300
7400,2.835593
7420,2.908300
7440,2.835593
7461,2.907719
7480,2.762885
7501,2.762885
7520,2.762885
7541,2.763438
7560,2.762885
7580,2.617994
7600,2.762885
7620,2.690716
7640,2.690178
7660,2.690178
7680,2.690178
7700,2.762885
7721,2.617470
7740,2.763438
7761,2.690716
7780,2.690178
