t_ms,velocidade_rad_s
19,-1.017905
40,-2.981604
59,-4.508768
80,-5.745043
100,-6.689091
120,-7.417650
140,-7.999426
160,-8.581203
180,-8.943025
200,-9.306562
220,-9.599312
239,-9.888222
260,-10.035644
279,-10.253810
300,-10.326532
319,-10.471977
340,-10.542590
359,-10.688005
380,-10.688005
400,-10.762866
420,-10.833420
440,-10.831254
460,-10.833420
480,-10.906127
500,-10.906127
520,-10.906127
539,-10.981031
560,-10.908309
579,-10.981031
600,-10.978835
619,-10.978835
640,-10.978835
659,-10.978835
680,-10.978835
700,-11.053752
720,-10.981031
740,-10.974446
760,-10.981031
780,-10.981031
800,-10.981031
820,-11.051542
840,-10.981031
860,-11.051542
879,-10.981031
900,-11.053752
919,-10.981031
940,-11.051542
959,-11.051542
980,-10.981031
1000,-11.053752
1020,-11.051542
1040,-10.972253
1060,-10.978835
1080,-11.051542
1100,-11.053752
1120,-11.047124
1140,-10.978835
1160,-11.053752
1179,-10.978835
1200,-11.051542
1219,-10.976640
1240,-10.981031
1259,-11.053752
1280,-10.981031
1300,-11.053752
1320,-11.051542
1340,-11.053752
1360,-11.051542
1380,-10.981031
1400,-11.053752
1420,-11.053752
1440,-11.053752
1460,-11.051542
1480,-11.053752
1500,-11.047124
1519,-11.047124
1540,-10.976640
1560,-10.981031
1580,-11.053752
1600,-11.053752
1620,-11.053752
1640,-11.053752
1660,-11.053752
1680,-11.051542
1700,-11.124250
1720,-11.053752
1740,-11.126475
1760,-11.051542
1780,-11.053752
1800,-11.053752
1819,-11.124250
1840,-11.051542
1859,-11.124250
1880,-11.051542
1900,-11.053752
1920,-11.053752
1940,-11.124250
1960,-11.053752
1980,-11.122026
2000,-11.053752
2020,-11.051542
2040,-11.053752
2060,-11.124250
2080,-11.051542
2100,-11.126475
2120,-11.051542
2140,-11.126475
2159,-11.051542
2180,-11.126475
2200,-11.051542
2220,-11.126475
2240,-11.051542
2260,-11.126475
2280,-11.126475
2300,-11.053752
2320,-11.199197
2340,-11.126475
2360,-11.053752
2380,-11.199197
2400,-11.126475
2420,-11.126475
2440,-11.126475
2459,-11.124250
2480,-11.199197
2500,-11.053752
2520,-11.199197
2540,-11.126475
2560,-11.126475
2580,-11.196957
2600,-11.126475
2620,-11.126475
2640,-11.192481
2660,-11.053752
2680,-11.196957
2700,-11.053752
2720,-11.199197
2740,-11.126475
2760,-11.124250
2780,-11.126475
2800,-11.126475
2820,-11.124250
2840,-11.126475
2860,-11.126475
2880,-11.124250
2900,-11.126475
2920,-11.126475
2940,-11.124250
2960,-11.126475
2980,-11.126475
3000,-11.124250
3020,-11.122026
3040,-11.124250
3060,-11.126475
3080,-11.196957
3100,-11.124250
3120,-11.126475
3140,-11.196957
3160,-11.053752
3180,-11.199197
3200,-11.124250
3220,-11.126475
3240,-11.196957
3260,-11.126475
3280,-11.199197
3300,-11.196957
3320,-11.196957
3340,-11.126475
3360,-11.194719
3380,-11.196957
3401,-11.126475
3420,-11.199197
3440,-11.192481
3460,-11.051542
3480,-11.271920
3500,-11.196957
3520,-11.126475
3540,-11.192481
3560,-11.192481
3580,-11.053752
3600,-11.199197
3620,-11.196957
3640,-11.126475
3660,-11.199197
3680,-11.199197
3701,-11.126475
3720,-11.199197
3740,-11.199197
3760,-11.051542
3780,-11.269665
3800,-11.124250
3820,-11.126475
3840,-11.199197
3860,-11.199197
3880,-11.126475
3900,-11.199197
3920,-11.199197
3940,-11.126475
3960,-11.199197
3980,-11.126475
4001,-11.126475
4020,-11.271920
4041,-11.126475
4060,-11.124250
4080,-11.196957
4100,-11.126475
4120,-11.124250
4140,-11.196957
4160,-11.126475
4180,-11.124250
4200,-11.126475
4220,-11.126475
4240,-11.199197
4260,-11.053752
4280,-11.199197
4301,-11.199197
4320,-11.051542
4341,-11.194719
4360,-11.199197
4380,-11.051542
4400,-11.271920
4420,-11.124250
4440,-11.126475
4460,-11.199197
4480,-11.126475
4500,-11.124250
4520,-11.196957
4540,-11.126475
4560,-11.196957
4580,-11.124250
4601,-11.126475
4620,-11.124250
4641,-11.124250
4660,-11.124250
4681,-11.192481
4700,-11.126475
4720,-11.124250
4740,-11.126475
4760,-11.124250
4780,-11.196957
4800,-11.126475
4820,-11.126475
4840,-11.196957
4860,-11.051542
4880,-11.196957
4901,-11.126475
4920,-11.124250
4941,-11.196957
4960,-11.126475
4981,-11.126475
5000,-11.196957
5020,-11.126475
5040,-11.199197
5060,-11.192481
5080,-11.053752
5100,-11.199197
5120,-11.196957
5140,-11.053752
5160,-11.199197
5180,-11.124250
5201,-11.126475
5220,-11.199197
5241,-11.053752
5260,-11.196957
5281,-11.126475
5300,-11.126475
5321,-11.199197
5340,-11.126475
5360,-11.126475
5380,-11.199197
5400,-11.126475
5420,-11.124250
5440,-11.196957
5460,-11.126475
5480,-11.199197
5501,-11.199197
5520,-11.126475
5541,-11.194719
5560,-11.124250
5581,-11.126475
5600,-11.199197
5621,-11.196957
5640,-11.051542
5660,-11.196957
5680,-11.126475
5700,-11.124250
5720,-11.126475
5740,-11.124250
5760,-11.126475
5780,-11.053752
5801,-11.126475
5820,-11.053752
5841,-11.199197
5860,-11.053752
5881,-11.126475
5900,-11.124250
5921,-11.053752
5940,-11.196957
5961,-11.053752
5980,-11.126475
6000,-11.124250
6020,-11.051542
6040,-11.196957
6060,-11.051542
6080,-11.194719
6101,-11.053752
6120,-11.124250
6141,-11.124250
6160,-11.126475
6181,-11.126475
6200,-11.051542
6221,-11.196957
6240,-11.051542
6261,-11.194719
6280,-11.053752
6300,-11.126475
6320,-11.126475
6340,-11.126475
6360,-11.126475
6380,-11.051542
6401,-11.051542
6420,-11.124250
6441,-11.122026
6460,-11.053752
6481,-11.124250
6500,-11.124250
6521,-11.051542
6540,-11.192481
6561,-11.053752
6580,-11.124250
6601,-11.126475
6620,-11.126475
6640,-11.124250
6660,-11.124250
6680,-11.126475
6701,-11.053752
6720,-11.196957
6741,-11.053752
6760,-11.124250
6781,-11.053752
6800,-11.126475
6821,-11.122026
6840,-11.053752
6861,-11.126475
6880,-11.124250
6901,-11.126475
6920,-11.053752
6940,-11.122026
6960,-11.126475
6980,-11.053752
7001,-11.124250
7020,-11.051542
7041,-11.124250
7060,-11.051542
7081,-11.196957
7100,-11.051542
7121,-11.124250
7140,-11.126475
7161,-11.053752
7180,-11.199197
7201,-11.053752
7220,-11.124250
7241,-11.126475
7260,-11.053752
7280,-11.196957
7301,-11.053752
7320,-11.124250
7341,-11.051542
7360,-11.124250
7381,-11.051542
7400,-11.199197
7421,-11.053752
7440,-11.124250
7461,-11.053752
7480,-11.126475
7501,-11.053752
7520,-11.124250
7541,-11.126475
7560,-11.053752
7580,-11.199197
7601,-11.053752
7620,-11.199197
7641,-11.126475
7660,-11.126475
7681,-11.199197
7700,-11.126475
7721,-11.124250
7740,-11.196957
7761,-11.126475
7780,-11.124250
7801,-11.196957
7820,-11.126475
7841,-11.124250
7860,-11.126475
7881,-11.124250
7901,-11.126475
7920,-11.126475
7941,-11.122026
7960,-11.126475
7981,-11.126475
8000,-11.196957
8021,-11.126475
8040,-11.126475
8061,-11.124250
8080,-11.126475
8101,-11.126475
8120,-11.124250
8141,-11.126475
8160,-11.199197
8181,-11.126475
8201,-11.124250
8220,-11.126475
8241,-11.124250
8260,-11.196957
8281,-11.051542
8300,-11.199197
8321,-11.196957
8340,-11.053752
8361,-11.199197
8380,-11.126475
8401,-11.124250
8420,-11.196957
8441,-11.122026
8460,-11.126475
8481,-11.196957
8501,-11.126475
8521,-11.124250
8541,-11.194719
8560,-11.124250
8581,-11.126475
8600,-11.124250
8621,-11.196957
8640,-11.126475
8661,-11.053752
8680,-11.199197
8701,-11.126475
8720,-11.124250
8741,-11.196957
8760,-11.124250
8781,-11.126475
8801,-11.199197
8821,-11.122026
8841,-11.124250
8860,-11.196957
8881,-11.124250
8900,-11.194719
8921,-11.124250
8940,-11.126475
8961,-11.124250
8980,-11.196957
9001,-11.126475
9020,-11.199197
9041,-11.124250
9060,-11.196957
9081,-11.192481
9101,-11.126475
9121,-11.126475
9141,-11.199197
9161,-11.126475
9181,-11.269665
9200,-11.126475
9221,-11.126475
9240,-11.269665
9261,-11.126475
9280,-11.126475
9301,-11.265160
9320,-11.126475
9341,-11.126475
9360,-11.199197
9381,-11.199197
9401,-11.126475
9421,-11.196957
9441,-11.196957
9461,-11.126475
9481,-11.199197
9500,-11.124250
9521,-11.126475
9540,-11.199197
9561,-11.053752
9580,-11.199197
9601,-11.199197
9620,-11.053752
9641,-11.199197
9660,-11.053752
9681,-11.199197
9701,-11.199197
9721,-11.051542
9741,-11.194719
9761,-11.126475
9781,-11.124250
9801,-11.199197
9821,-11.053752
9840,-11.199197
9861,-11.126475
9880,-11.124250
9901,-11.199197
9920,-11.126475
9941,-11.124250
9960,-11.196957
9981,-11.126475
10001,-11.126475
10021,-11.199197
10041,-11.199197
10061,-11.126475
10081,-11.126475
10101,-11.051542
10121,-11.196957
10140,-11.126475
10161,-11.126475
10180,-11.124250
10201,-11.124250
10220,-11.124250
10241,-11.126475
10260,-11.124250
10281,-11.124250
10301,-11.124250
10321,-11.126475
10341,-11.126475
10361,-11.126475
10381,-11.126475
10401,-11.126475
10421,-11.194719
10441,-11.053752
10461,-11.199197
10480,-11.119803
10501,-11.126475
10520,-11.119803
10541,-11.051542
10560,-11.124250
10581,-11.126475
10601,-11.126475
10621,-11.199197
10641,-11.049333
10661,-11.126475
10681,-11.126475
10701,-11.126475
10721,-11.124250
10741,-11.053752
10761,-11.196957
10780,-11.053752
10801,-11.126475
10820,-11.126475
10841,-11.053752
10860,-11.196957
10881,-11.053752
10901,-11.196957
10921,-11.053752
10941,-11.126475
10961,-11.051542
10981,-11.126475
11001,-11.126475
11021,-11.124250
11041,-11.053752
11061,-11.126475
11081,-11.126475
11101,-11.126475
11120,-11.124250
11141,-11.053752
11160,-11.196957
11181,-11.126475
11201,-11.053752
11221,-11.196957
11241,-11.126475
11261,-11.124250
11281,-11.194719
11301,-11.124250
11321,-11.124250
11341,-11.124250
11361,-11.124250
11381,-11.199197
11401,-11.126475
11420,-11.124250
11441,-11.199197
11460,-11.126475
11481,-11.126475
11501,-11.196957
11521,-11.053752
11541,-11.196957
11561,-11.124250
11581,-11.126475
11601,-11.199197
11621,-11.124250
11641,-11.199197
11661,-11.124250
11681,-11.124250
11701,-11.199197
11721,-11.124250
11741,-11.124250
11760,-11.199197
11781,-11.199197
11800,-11.126475
11821,-11.196957
11841,-11.199197
11861,-11.126475
11881,-11.265160
11901,-11.199197
11921,-11.126475
11941,-11.196957
11961,-11.196957
11981,-11.199197
12001,-11.126475
12021,-11.271920
