t_ms,velocidade_rad_s
19,0.000000
40,0.000000
59,0.000000
80,0.000000
99,0.000000
120,0.000000
140,0.000000
160,0.000000
180,0.000000
200,0.000000
220,0.000000
239,0.000000
260,0.000000
279,0.000000
300,0.000000
319,0.000000
340,0.000000
359,0.000000
380,0.000000
399,0.000000
420,0.000000
440,0.000000
460,0.000000
480,0.000000
500,0.000000
520,0.000000
539,0.000000
560,0.000000
579,0.000000
600,0.000000
619,0.000000
640,0.000000
659,0.000000
680,0.000000
699,0.000000
720,0.000000
740,0.000000
760,0.000000
780,0.000000
800,0.000000
820,0.000000
840,0.000000
860,0.000000
879,0.000000
900,0.000000
919,0.000000
940,0.000000
959,0.000000
980,0.000000
999,0.000000
1020,0.000000
1040,0.000000
1060,0.000000
1080,0.000000
1100,0.000000
1120,0.000000
1140,0.000000
1160,0.000000
1179,0.000000
1200,0.000000
1219,0.000000
1240,0.000000
1259,0.000000
1280,0.000000
1299,0.000000
1320,0.000000
1340,0.000000
1360,0.000000
1380,0.000000
1400,0.000000
1420,0.000000
1440,0.000000
1460,0.000000
1480,0.000000
1500,0.000000
1519,0.000000
1540,0.000000
1559,0.000000
1580,0.000000
1599,0.000000
1620,0.000000
1639,0.000000
1660,0.000000
1680,0.000000
1700,0.000000
1720,0.000000
1740,0.000000
1760,0.000000
1780,0.000000
1800,0.000000
1819,0.000000
1840,0.000000
1859,0.000000
1880,0.000000
1899,0.000000
1920,0.000000
1939,0.000000
1960,0.000000
1980,0.000000
2000,0.000000
2020,0.000000
2040,0.000000
2060,0.000000
2080,0.000000
2100,0.000000
2120,0.000000
2140,0.000000
2159,0.000000
2180,0.000000
2199,0.000000
2220,0.000000
2239,0.000000
2260,0.000000
2280,0.000000
2300,0.000000
2320,0.000000
2340,0.000000
2360,0.000000
2380,0.000000
2400,0.000000
2420,0.000000
2440,0.000000
2459,0.000000
2480,0.000000
2499,0.000000
2520,0.000000
2539,0.000000
2560,0.000000
2579,0.000000
2600,0.000000
2620,0.000000
2640,0.000000
2660,0.000000
2680,0.000000
2700,0.000000
2720,0.000000
2740,0.000000
2760,0.000000
2780,0.000000
2799,0.000000
2820,0.000000
2839,0.000000
2860,0.000000
2879,0.000000
2900,0.000000
2920,0.000000
2940,0.000000
2960,0.000000
2980,0.000000
3000,0.000000
3020,0.000000
3040,0.000000
3060,0.000000
3080,0.000000
3099,0.000000
3120,0.000000
3139,0.000000
3160,0.000000
3179,0.000000
3200,0.000000
3219,0.000000
3240,0.000000
3260,0.000000
3280,0.000000
3300,0.000000
3320,0.000000
3340,0.000000
3360,0.000000
3380,0.000000
3400,0.000000
3420,0.000000
3439,0.000000
3460,0.000000
3479,0.000000
3500,0.000000
3519,0.000000
3540,0.000000
3560,0.000000
3580,0.000000
3600,0.000000
3620,0.000000
3640,0.000000
3660,0.000000
3680,0.000000
3700,0.000000
3720,0.000000
3739,0.000000
3760,0.000000
3779,0.000000
3800,0.000000
3819,0.000000
3840,0.000000
3859,0.000000
3880,0.000000
3900,0.000000
3920,0.000000
3940,0.000000
3960,0.000000
3980,0.000000
4000,0.000000
4020,0.000000
4040,0.000000
4060,0.000000
4079,0.000000
4100,0.000000
4119,0.000000
4140,0.000000
4159,0.000000
4180,0.000000
4200,0.000000
4220,0.000000
4240,0.000000
4260,0.000000
4280,0.000000
4300,0.000000
4320,0.000000
4340,0.000000
4360,0.000000
4379,0.000000
4400,0.000000
4419,0.000000
4440,0.000000
4459,0.000000
4480,0.000000
4499,0.000000
4520,0.000000
4540,0.000000
4560,0.000000
4580,0.000000
4600,0.000000
4620,0.000000
4640,0.000000
4660,0.000000
4680,0.000000
4700,0.000000
4719,0.000000
4740,0.000000
4759,0.000000
4780,0.000000
4799,0.000000
4820,0.000000
4840,0.000000
4860,0.000000
4880,0.000000
4900,0.000000
4920,0.000000
4940,0.000000
4960,0.000000
4980,0.000000
5000,0.000000
5019,0.000000
5040,0.000000
5059,0.000000
5080,0.000000
5099,0.000000
5120,0.000000
5140,0.000000
5160,0.000000
5180,0.000000
5200,0.000000
5220,0.000000
5240,0.000000
5260,0.000000
5280,0.000000
5300,0.000000
5320,0.000000
5340,0.000000
5359,0.000000
5380,0.000000
5399,0.000000
5420,0.000000
5439,0.000000
5460,0.000000
5480,0.000000
5500,0.000000
5520,0.000000
5540,0.000000
5560,0.000000
5580,0.000000
5600,0.000000
5620,0.000000
5640,0.000000
5659,0.000000
5680,0.000000
5699,0.000000
5720,0.000000
5739,0.000000
5760,0.000000
5780,0.000000
5800,0.000000
5820,0.000000
5840,0.000000
5860,0.000000
5880,0.000000
5900,0.000000
5920,0.000000
5940,0.000000
5960,0.000000
5980,0.000000
5999,0.000000
6020,0.000000
6039,0.000000
6060,0.000000
6079,0.000000
6100,0.000000
6120,0.000000
6140,0.000000
6160,0.000000
6180,0.000000
6200,0.000000
6220,0.000000
6240,0.000000
6260,0.000000
6280,0.000000
6299,0.000000
6320,0.000000
6339,0.000000
6360,0.000000
6379,0.000000
6400,0.000000
6420,0.000000
6440,0.000000
6460,0.000000
6480,0.000000
6500,0.000000
6520,0.000000
6540,0.000000
6560,0.000000
6580,0.000000
6600,0.000000
6620,0.000000
6639,0.000000
6660,0.000000
6679,0.000000
6700,0.000000
6719,0.000000
6740,0.000000
6760,0.000000
6780,0.000000
6800,0.000000
6820,0.000000
6840,0.000000
6860,0.000000
6880,0.000000
6900,0.000000
6920,0.000000
6939,0.000000
6960,0.000000
6979,0.000000
7000,0.000000
7019,0.000000
7040,0.000000
7060,0.000000
7080,0.000000
7100,0.000000
7120,0.000000
7140,0.000000
7160,0.000000
7180,0.000000
7200,0.000000
7220,0.000000
7240,0.000000
7260,0.000000
7279,0.000000
7300,0.000000
7319,0.000000
7340,0.000000
7360,0.000000
7380,0.000000
7400,0.000000
7420,0.000000
7440,0.000000
7460,0.000000
7480,0.000000
7500,0.000000
7520,0.000000
7540,0.000000
7560,0.000000
7579,0.000000
7600,0.000000
7619,0.000000
7640,0.000000
7659,0.000000
7680,0.000000
7700,0.000000
7720,0.000000
7740,0.000000
7760,0.000000
7780,0.000000
7800,0.000000
7820,0.000000
7840,0.000000
7860,0.000000
7880,0.000000
7900,0.000000
7919,0.000000
7940,0.000000
7959,0.000000
7980,0.000000
8000,0.000000
8020,0.000000
8040,0.000000
8060,0.000000
8080,0.000000
8100,0.000000
8120,0.000000
8140,0.000000
8160,0.000000
8180,0.000000
8200,0.000000
8219,0.000000
8240,0.000000
8259,0.000000
8280,0.000000
8299,0.000000
8320,0.000000
8340,0.000000
8360,0.000000
8380,0.000000
8400,0.000000
8420,0.000000
8440,0.000000
8460,0.000000
8480,0.000000
8500,0.000000
8520,0.000000
8540,0.000000
8559,0.000000
8580,0.000000
8599,0.000000
8620,0.000000
8640,0.000000
8660,0.000000
8680,0.000000
8700,0.000000
8720,0.000000
8740,0.000000
8760,0.000000
8780,0.000000
8800,0.000000
8820,0.000000
8840,0.000000
8859,0.000000
8880,0.000000
8899,0.000000
8920,0.000000
8940,0.000000
8960,0.000000
8980,0.000000
9000,0.000000
9020,0.000000
9040,0.000000
9060,0.000000
9080,0.000000
9100,0.000000
9120,0.000000
9140,0.000000
9160,0.000000
9180,0.000000
9199,0.000000
9220,0.000000
9239,0.000000
9260,0.000000
9280,0.000000
9300,0.000000
9320,0.000000
9340,0.000000
9360,0.000000
9380,0.000000
9400,0.000000
9420,0.000000
9440,0.000000
9460,0.000000
9480,0.000000
9499,0.000000
9520,0.000000
9539,0.000000
9560,0.000000
9580,0.000000
9600,0.000000
9620,0.000000
9640,0.000000
