motor,pwm,t_ms,count_acumulado,delta_count,vel_rad_s
D,0,0,0,0,0.000000,
D,0,70,0,0,0.000000,
D,0,140,0,0,0.000000,
D,0,210,0,0,0.000000,
D,0,280,0,0,0.000000,
D,0,350,0,0,0.000000,
D,0,420,0,0,0.000000,
D,0,490,0,0,0.000000,
D,0,560,0,0,0.000000,
D,0,630,0,0,0.000000,
D,0,700,0,0,0.000000,
D,0,770,0,0,0.000000,
D,0,840,0,0,0.000000,
D,0,910,0,0,0.000000,
D,0,980,0,0,0.000000,
D,5,0,0,0,0.000000,
D,5,70,0,0,0.000000,
D,5,140,0,0,0.000000,
D,5,210,0,0,0.000000,
D,5,280,0,0,0.000000,
D,5,350,0,0,0.000000,
D,5,420,0,0,0.000000,
D,5,490,0,0,0.000000,
D,5,560,0,0,0.000000,
D,5,630,0,0,0.000000,
D,5,700,0,0,0.000000,
D,5,770,0,0,0.000000,
D,5,840,0,0,0.000000,
D,5,910,0,0,0.000000,
D,5,980,0,0,0.000000,
D,10,0,0,0,0.000000,
D,10,70,0,0,0.000000,
D,10,140,0,0,0.000000,
D,10,210,0,0,0.000000,
D,10,280,0,0,0.000000,
D,10,350,0,0,0.000000,
D,10,420,0,0,0.000000,
D,10,490,0,0,0.000000,
D,10,561,0,0,0.000000,
D,10,630,0,0,0.000000,
D,10,700,0,0,0.000000,
D,10,770,0,0,0.000000,
D,10,840,0,0,0.000000,
D,10,910,0,0,0.000000,
D,10,980,0,0,0.000000,
D,15,0,0,0,0.000000,
D,15,70,0,0,0.000000,
D,15,140,0,0,0.000000,
D,15,210,0,0,0.000000,
D,15,280,0,0,0.000000,
D,15,350,0,0,0.000000,
D,15,420,0,0,0.000000,
D,15,490,0,0,0.000000,
D,15,560,0,0,0.000000,
D,15,630,0,0,0.000000,
D,15,700,0,0,0.000000,
D,15,770,0,0,0.000000,
D,15,840,0,0,0.000000,
D,15,910,0,0,0.000000,
D,15,981,0,0,0.000000,
D,20,0,0,0,0.000000,
D,20,70,0,0,0.000000,
D,20,140,0,0,0.000000,
D,20,210,0,0,0.000000,
D,20,280,0,0,0.000000,
D,20,350,0,0,0.000000,
D,20,420,0,0,0.000000,
D,20,490,0,0,0.000000,
D,20,560,0,0,0.000000,
D,20,630,0,0,0.000000,
D,20,700,0,0,0.000000,
D,20,770,0,0,0.000000,
D,20,840,0,0,0.000000,
D,20,910,0,0,0.000000,
D,20,980,0,0,0.000000,
D,25,0,0,0,0.000000,
D,25,70,0,0,0.000000,
D,25,140,0,0,0.000000,
D,25,210,0,0,0.000000,
D,25,280,0,0,0.000000,
D,25,350,0,0,0.000000,
D,25,420,0,0,0.000000,
D,25,490,0,0,0.000000,
D,25,560,0,0,0.000000,
D,25,630,0,0,0.000000,
D,25,700,0,0,0.000000,
D,25,770,0,0,0.000000,
D,25,840,0,0,0.000000,
D,25,910,0,0,0.000000,
D,25,980,0,0,0.000000,
D,30,0,0,0,0.000000,
D,30,70,0,0,0.000000,
D,30,140,0,0,0.000000,
D,30,210,0,0,0.000000,
D,30,280,0,0,0.000000,
D,30,350,0,0,0.000000,
D,30,420,0,0,0.000000,
D,30,490,0,0,0.000000,
D,30,560,0,0,0.000000,
D,30,630,0,0,0.000000,
D,30,700,0,0,0.000000,
D,30,770,0,0,0.000000,
D,30,840,0,0,0.000000,
D,30,910,0,0,0.000000,
D,30,980,0,0,0.000000,
D,35,0,0,0,0.000000,
D,35,70,0,0,0.000000,
D,35,140,0,0,0.000000,
D,35,210,0,0,0.000000,
D,35,280,0,0,0.000000,
D,35,350,0,0,0.000000,
D,35,420,0,0,0.000000,
D,35,490,0,0,0.000000,
D,35,560,0,0,0.000000,
D,35,630,0,0,0.000000,
D,35,700,0,0,0.000000,
D,35,770,0,0,0.000000,
D,35,840,0,0,0.000000,
D,35,910,0,0,0.000000,
D,35,980,0,0,0.000000,
D,40,0,0,0,0.000000,
D,40,70,0,0,0.000000,
D,40,140,1,1,0.020778,
D,40,210,1,0,0.000000,
D,40,280,4,3,0.062333,
D,40,351,6,2,0.041555,
D,40,420,6,0,0.000000,
D,40,490,6,0,0.000000,
D,40,560,6,0,0.000000,
D,40,630,7,1,0.020778,
D,40,700,7,0,0.000000,
D,40,770,7,0,0.000000,
D,40,840,7,0,0.000000,
D,40,910,7,0,0.000000,
D,40,980,7,0,0.000000,
D,45,0,0,0,0.000000,
