motor,pwm,t_ms,count_acumulado,delta_count,vel_rad_s
D,0,0,0,0,"0.000000,"
D,0,20,0,0,"0.000000,"
D,0,40,0,0,"0.000000,"
D,0,60,0,0,"0.000000,"
D,0,80,0,0,"0.000000,"
D,0,100,0,0,"0.000000,"
D,0,120,0,0,"0.000000,"
D,0,140,0,0,"0.000000,"
D,0,160,0,0,"0.000000,"
D,0,180,0,0,"0.000000,"
D,0,200,0,0,"0.000000,"
D,0,220,0,0,"0.000000,"
D,0,240,0,0,"0.000000,"
D,0,260,0,0,"0.000000,"
D,0,280,0,0,"0.000000,"
D,0,300,0,0,"0.000000,"
D,0,320,0,0,"0.000000,"
D,0,340,0,0,"0.000000,"
D,0,360,0,0,"0.000000,"
D,0,381,0,0,"0.000000,"
D,0,405,0,0,"0.000000,"
D,0,429,0,0,"0.000000,"
D,0,453,0,0,"0.000000,"
D,0,476,0,0,"0.000000,"
D,0,501,0,0,"0.000000,"
D,0,524,0,0,"0.000000,"
D,0,548,0,0,"0.000000,"
D,0,573,0,0,"0.000000,"
D,0,596,0,0,"0.000000,"
D,5,0,0,0,"0.000000,"
D,5,20,0,0,"0.000000,"
D,5,40,0,0,"0.000000,"
D,5,60,0,0,"0.000000,"
D,5,80,0,0,"0.000000,"
D,5,100,0,0,"0.000000,"
D,5,120,0,0,"0.000000,"
D,5,140,0,0,"0.000000,"
D,5,160,0,0,"0.000000,"
D,5,180,0,0,"0.000000,"
D,5,200,0,0,"0.000000,"
D,5,220,0,0,"0.000000,"
D,5,240,0,0,"0.000000,"
D,5,260,0,0,"0.000000,"
D,5,280,0,0,"0.000000,"
D,5,300,0,0,"0.000000,"
D,5,320,0,0,"0.000000,"
D,5,340,0,0,"0.000000,"
D,5,360,0,0,"0.000000,"
D,5,381,0,0,"0.000000,"
D,5,405,0,0,"0.000000,"
D,5,429,0,0,"0.000000,"
D,5,453,0,0,"0.000000,"
D,5,477,0,0,"0.000000,"
D,5,501,0,0,"0.000000,"
D,5,525,0,0,"0.000000,"
D,5,548,0,0,"0.000000,"
D,5,573,0,0,"0.000000,"
D,5,596,0,0,"0.000000,"
D,10,0,0,0,"0.000000,"
D,10,20,0,0,"0.000000,"
D,10,40,0,0,"0.000000,"
D,10,60,0,0,"0.000000,"
D,10,80,0,0,"0.000000,"
D,10,100,0,0,"0.000000,"
D,10,120,0,0,"0.000000,"
D,10,140,0,0,"0.000000,"
D,10,160,0,0,"0.000000,"
D,10,180,0,0,"0.000000,"
