motor,pwm,t_ms,count_acumulado,delta_count,vel_rad_s
E,0,0,0,0,0.000000
E,0,20,0,0,0.000000
E,0,40,0,0,0.000000
E,0,60,0,0,0.000000
E,0,80,0,0,0.000000
E,0,100,0,0,0.000000
E,0,120,0,0,0.000000
E,0,140,0,0,0.000000
E,0,160,0,0,0.000000
E,0,180,0,0,0.000000
E,0,200,0,0,0.000000
E,0,220,0,0,0.000000
E,0,240,0,0,0.000000
E,0,260,0,0,0.000000
E,0,280,0,0,0.000000
E,0,300,0,0,0.000000
E,0,320,0,0,0.000000
E,0,340,0,0,0.000000
E,0,360,0,0,0.000000
E,0,380,0,0,0.000000
E,0,400,0,0,0.000000
E,0,420,0,0,0.000000
E,0,440,0,0,0.000000
E,0,460,0,0,0.000000
E,0,480,0,0,0.000000
E,0,500,0,0,0.000000
E,0,521,0,0,0.000000
E,0,544,0,0,0.000000
E,0,567,0,0,0.000000
E,0,590,0,0,0.000000
E,5,0,0,0,0.000000
E,5,20,0,0,0.000000
E,5,40,0,0,0.000000
E,5,60,0,0,0.000000
E,5,80,0,0,0.000000
E,5,100,0,0,0.000000
E,5,120,0,0,0.000000
E,5,140,0,0,0.000000
E,5,160,0,0,0.000000
E,5,180,0,0,0.000000
E,5,200,0,0,0.000000
E,5,220,0,0,0.000000
E,5,240,0,0,0.000000
E,5,260,0,0,0.000000
E,5,280,0,0,0.000000
E,5,300,0,0,0.000000
E,5,320,0,0,0.000000
E,5,340,0,0,0.000000
E,5,360,0,0,0.000000
E,5,380,0,0,0.000000
E,5,400,0,0,0.000000
E,5,420,0,0,0.000000
E,5,440,0,0,0.000000
E,5,460,0,0,0.000000
E,5,481,0,0,0.000000
E,5,500,0,0,0.000000
E,5,521,0,0,0.000000
E,5,544,0,0,0.000000
E,5,568,0,0,0.000000
E,5,590,0,0,0.000000
E,10,0,0,0,0.000000
E,10,20,0,0,0.000000
E,10,40,0,0,0.000000
E,10,60,0,0,0.000000
E,10,80,0,0,0.000000
E,10,100,0,0,0.000000
E,10,120,0,0,0.000000
E,10,140,0,0,0.000000
E,10,160,0,0,0.000000
E,10,180,0,0,0.000000
E,10,200,0,0,0.000000
E,10,220,0,0,0.000000
E,10,240,0,0,0.000000
E,10,260,0,0,0.000000
E,10,280,0,0,0.000000
E,10,300,0,0,0.000000
E,10,320,0,0,0.000000
E,10,340,0,0,0.000000
E,10,360,0,0,0.000000
E,10,381,0,0,0.000000
E,10,405,0,0,0.000000
E,10,428,0,0,0.000000
E,10,453,0,0,0.000000
E,10,477,0,0,0.000000
E,10,501,0,0,0.000000
E,10,525,0,0,0.000000
E,10,548,0,0,0.000000
E,10,573,0,0,0.000000
E,10,596,0,0,0.000000
E,15,0,0,0,0.000000
E,15,20,0,0,0.000000
E,15,40,0,0,0.000000
E,15,60,0,0,0.000000
E,15,80,0,0,0.000000
E,15,100,0,0,0.000000
E,15,121,0,0,0.000000
E,15,140,0,0,0.000000
E,15,160,0,0,0.000000
E,15,180,0,0,0.000000
E,15,200,0,0,0.000000
E,15,220,0,0,0.000000
E,15,240,0,0,0.000000
E,15,260,0,0,0.000000
E,15,280,0,0,0.000000
E,15,300,0,0,0.000000
E,15,320,0,0,0.000000
E,15,340,0,0,0.000000
E,15,360,0,0,0.000000
E,15,381,0,0,0.000000
E,15,404,0,0,0.000000
E,15,428,0,0,0.000000
E,15,452,0,0,0.000000
E,15,476,0,0,0.000000
E,15,500,0,0,0.000000
E,15,524,0,0,0.000000
E,15,548,0,0,0.000000
E,15,572,0,0,0.000000
E,15,596,0,0,0.000000
E,20,0,0,0,0.000000
E,20,20,0,0,0.000000
E,20,40,0,0,0.000000
E,20,60,0,0,0.000000
E,20,80,0,0,0.000000
E,20,100,0,0,0.000000
E,20,120,0,0,0.000000
E,20,140,0,0,0.000000
E,20,160,0,0,0.000000
E,20,180,0,0,0.000000
E,20,200,0,0,0.000000
E,20,220,0,0,0.000000
E,20,240,0,0,0.000000
E,20,260,0,0,0.000000
E,20,280,0,0,0.000000
E,20,300,0,0,0.000000
E,20,320,0,0,0.000000
E,20,340,0,0,0.000000
E,20,360,0,0,0.000000
E,20,381,0,0,0.000000
E,20,404,0,0,0.000000
E,20,428,0,0,0.000000
E,20,453,0,0,0.000000
E,20,476,0,0,0.000000
E,20,501,0,0,0.000000
E,20,524,0,0,0.000000
E,20,548,0,0,0.000000
E,20,572,0,0,0.000000
E,20,596,0,0,0.000000
E,25,0,0,0,0.000000
E,25,20,0,0,0.000000
E,25,40,0,0,0.000000
E,25,60,0,0,0.000000
E,25,80,0,0,0.000000
E,25,100,0,0,0.000000
E,25,120,0,0,0.000000
E,25,140,0,0,0.000000
E,25,160,0,0,0.000000
E,25,180,0,0,0.000000
E,25,200,0,0,0.000000
E,25,220,0,0,0.000000
E,25,240,0,0,0.000000
E,25,260,0,0,0.000000
E,25,280,0,0,0.000000
E,25,300,0,0,0.000000
E,25,320,0,0,0.000000
E,25,340,0,0,0.000000
E,25,360,0,0,0.000000
E,25,381,0,0,0.000000
E,25,405,0,0,0.000000
E,25,428,0,0,0.000000
E,25,453,0,0,0.000000
E,25,476,0,0,0.000000
E,25,500,0,0,0.000000
E,25,525,0,0,0.000000
E,25,548,0,0,0.000000
E,25,573,0,0,0.000000
E,25,596,0,0,0.000000
E,30,0,0,0,0.000000
E,30,20,0,0,0.000000
E,30,40,0,0,0.000000
E,30,60,0,0,0.000000
E,30,80,0,0,0.000000
E,30,100,0,0,0.000000
E,30,120,0,0,0.000000
E,30,140,0,0,0.000000
E,30,160,0,0,0.000000
E,30,180,0,0,0.000000
E,30,200,0,0,0.000000
E,30,220,0,0,0.000000
E,30,240,0,0,0.000000
E,30,260,0,0,0.000000
E,30,280,0,0,0.000000
E,30,300,0,0,0.000000
E,30,320,0,0,0.000000
E,30,340,0,0,0.000000
E,30,360,0,0,0.000000
E,30,380,0,0,0.000000
E,30,404,0,0,0.000000
E,30,428,0,0,0.000000
E,30,452,0,0,0.000000
E,30,476,0,0,0.000000
E,30,499,0,0,0.000000
E,30,524,0,0,0.000000
E,30,547,0,0,0.000000
E,30,572,0,0,0.000000
E,30,596,0,0,0.000000
E,35,0,0,0,0.000000
E,35,20,0,0,0.000000
E,35,40,0,0,0.000000
E,35,60,0,0,0.000000
E,35,80,0,0,0.000000
E,35,100,0,0,0.000000
E,35,120,0,0,0.000000
E,35,140,0,0,0.000000
E,35,160,0,0,0.000000
E,35,180,0,0,0.000000
E,35,200,0,0,0.000000
E,35,220,0,0,0.000000
E,35,240,0,0,0.000000
E,35,260,0,0,0.000000
E,35,280,0,0,0.000000
E,35,300,0,0,0.000000
E,35,320,0,0,0.000000
E,35,340,0,0,0.000000
E,35,360,0,0,0.000000
E,35,381,0,0,0.000000
E,35,404,0,0,0.000000
E,35,428,0,0,0.000000
E,35,452,0,0,0.000000
E,35,476,0,0,0.000000
E,35,500,0,0,0.000000
E,35,524,0,0,0.000000
E,35,548,0,0,0.000000
E,35,572,0,0,0.000000
E,35,596,0,0,0.000000
E,40,0,0,0,0.000000
E,40,20,0,0,0.000000
E,40,40,0,0,0.000000
E,40,60,0,0,0.000000
E,40,80,0,0,0.000000
E,40,100,0,0,0.000000
E,40,120,0,0,0.000000
E,40,140,0,0,0.000000
E,40,160,0,0,0.000000
E,40,180,0,0,0.000000
E,40,200,0,0,0.000000
E,40,220,0,0,0.000000
E,40,240,0,0,0.000000
E,40,260,0,0,0.000000
E,40,280,0,0,0.000000
E,40,300,0,0,0.000000
E,40,320,0,0,0.000000
E,40,340,0,0,0.000000
E,40,360,0,0,0.000000
E,40,381,0,0,0.000000
E,40,405,0,0,0.000000
E,40,428,0,0,0.000000
E,40,453,0,0,0.000000
E,40,476,0,0,0.000000
E,40,500,0,0,0.000000
E,40,524,0,0,0.000000
E,40,548,0,0,0.000000
E,40,573,0,0,0.000000
E,40,596,0,0,0.000000
E,45,0,0,0,0.000000
E,45,20,0,0,0.000000
E,45,40,0,0,0.000000
E,45,60,0,0,0.000000
E,45,80,0,0,0.000000
E,45,100,0,0,0.000000
E,45,120,0,0,0.000000
E,45,140,0,0,0.000000
E,45,160,0,0,0.000000
E,45,180,0,0,0.000000
E,45,200,0,0,0.000000
E,45,220,0,0,0.000000
E,45,240,0,0,0.000000
E,45,260,0,0,0.000000
E,45,280,0,0,0.000000
E,45,300,0,0,0.000000
E,45,320,0,0,0.000000
E,45,340,0,0,0.000000
E,45,360,0,0,0.000000
E,45,381,0,0,0.000000
E,45,405,0,0,0.000000
E,45,428,0,0,0.000000
E,45,453,0,0,0.000000
E,45,477,0,0,0.000000
E,45,500,0,0,0.000000
E,45,525,0,0,0.000000
E,45,548,0,0,0.000000
E,45,573,0,0,0.000000
E,45,596,0,0,0.000000
E,50,0,0,0,0.000000
E,50,20,0,0,0.000000
E,50,40,0,0,0.000000
E,50,60,0,0,0.000000
E,50,80,0,0,0.000000
E,50,100,0,0,0.000000
E,50,121,0,0,0.000000
E,50,140,0,0,0.000000
E,50,160,0,0,0.000000
E,50,180,0,0,0.000000
E,50,200,0,0,0.000000
E,50,220,0,0,0.000000
E,50,240,0,0,0.000000
E,50,260,0,0,0.000000
E,50,280,0,0,0.000000
E,50,300,0,0,0.000000
E,50,320,0,0,0.000000
E,50,340,0,0,0.000000
E,50,360,0,0,0.000000
E,50,381,0,0,0.000000
E,50,404,0,0,0.000000
E,50,428,0,0,0.000000
E,50,452,0,0,0.000000
E,50,476,0,0,0.000000
E,50,499,0,0,0.000000
E,50,524,0,0,0.000000
E,50,548,0,0,0.000000
E,50,572,0,0,0.000000
E,50,596,0,0,0.000000
E,55,0,0,0,0.000000
E,55,20,0,0,0.000000
E,55,40,0,0,0.000000
E,55,60,0,0,0.000000
E,55,80,0,0,0.000000
E,55,100,0,0,0.000000
E,55,120,0,0,0.000000
E,55,140,0,0,0.000000
E,55,160,0,0,0.000000
E,55,180,0,0,0.000000
E,55,200,0,0,0.000000
E,55,220,0,0,0.000000
E,55,240,0,0,0.000000
E,55,260,0,0,0.000000
E,55,280,0,0,0.000000
E,55,300,0,0,0.000000
E,55,320,0,0,0.000000
E,55,340,0,0,0.000000
E,55,360,0,0,0.000000
E,55,381,0,0,0.000000
E,55,404,0,0,0.000000
E,55,428,0,0,0.000000
E,55,453,0,0,0.000000
E,55,476,0,0,0.000000
E,55,500,0,0,0.000000
E,55,524,0,0,0.000000
E,55,548,0,0,0.000000
E,55,571,0,0,0.000000
E,55,596,0,0,0.000000
E,60,0,0,0,0.000000
E,60,20,0,0,0.000000
E,60,40,0,0,0.000000
E,60,60,0,0,0.000000
E,60,80,0,0,0.000000
E,60,100,0,0,0.000000
E,60,120,0,0,0.000000
E,60,140,0,0,0.000000
E,60,160,0,0,0.000000
E,60,180,0,0,0.000000
E,60,200,0,0,0.000000
E,60,220,0,0,0.000000
E,60,240,0,0,0.000000
E,60,260,0,0,0.000000
E,60,280,0,0,0.000000
E,60,300,0,0,0.000000
E,60,320,0,0,0.000000
E,60,340,0,0,0.000000
E,60,360,0,0,0.000000
E,60,381,0,0,0.000000
E,60,405,0,0,0.000000
E,60,428,0,0,0.000000
E,60,453,0,0,0.000000
E,60,476,0,0,0.000000
E,60,500,0,0,0.000000
E,60,525,0,0,0.000000
E,60,548,0,0,0.000000
E,60,572,0,0,0.000000
E,60,596,0,0,0.000000
E,65,0,0,0,0.000000
E,65,20,0,0,0.000000
E,65,41,0,0,0.000000
E,65,60,0,0,0.000000
E,65,80,0,0,0.000000
E,65,100,0,0,0.000000
E,65,120,0,0,0.000000
E,65,140,0,0,0.000000
E,65,160,0,0,0.000000
E,65,180,0,0,0.000000
E,65,200,0,0,0.000000
E,65,220,0,0,0.000000
E,65,240,0,0,0.000000
E,65,260,0,0,0.000000
E,65,280,0,0,0.000000
E,65,300,0,0,0.000000
E,65,320,0,0,0.000000
E,65,340,0,0,0.000000
E,65,360,0,0,0.000000
E,65,380,0,0,0.000000
E,65,404,0,0,0.000000
E,65,428,0,0,0.000000
E,65,452,0,0,0.000000
E,65,476,0,0,0.000000
E,65,499,0,0,0.000000
E,65,524,0,0,0.000000
E,65,547,0,0,0.000000
E,65,571,0,0,0.000000
E,65,596,0,0,0.000000
E,70,0,0,0,0.000000
E,70,20,0,0,0.000000
E,70,40,0,0,0.000000
E,70,60,0,0,0.000000
E,70,80,0,0,0.000000
E,70,100,0,0,0.000000
E,70,120,0,0,0.000000
E,70,140,0,0,0.000000
E,70,160,0,0,0.000000
E,70,180,0,0,0.000000
E,70,200,0,0,0.000000
E,70,220,0,0,0.000000
E,70,240,0,0,0.000000
E,70,260,0,0,0.000000
E,70,280,0,0,0.000000
E,70,300,0,0,0.000000
E,70,320,0,0,0.000000
E,70,340,0,0,0.000000
E,70,360,0,0,0.000000
E,70,381,0,0,0.000000
E,70,404,0,0,0.000000
E,70,428,0,0,0.000000
E,70,452,0,0,0.000000
E,70,476,0,0,0.000000
E,70,500,0,0,0.000000
E,70,524,0,0,0.000000
E,70,548,0,0,0.000000
E,70,571,0,0,0.000000
E,70,596,0,0,0.000000
E,75,0,0,0,0.000000
E,75,20,0,0,0.000000
E,75,40,0,0,0.000000
E,75,60,0,0,0.000000
E,75,80,0,0,0.000000
E,75,100,0,0,0.000000
E,75,120,0,0,0.000000
E,75,140,0,0,0.000000
E,75,160,0,0,0.000000
E,75,180,0,0,0.000000
E,75,200,0,0,0.000000
E,75,220,0,0,0.000000
E,75,240,0,0,0.000000
E,75,260,0,0,0.000000
E,75,280,0,0,0.000000
E,75,300,0,0,0.000000
E,75,320,0,0,0.000000
E,75,340,0,0,0.000000
E,75,360,0,0,0.000000
E,75,381,0,0,0.000000
E,75,405,0,0,0.000000
E,75,428,0,0,0.000000
E,75,453,0,0,0.000000
E,75,476,0,0,0.000000
E,75,500,0,0,0.000000
E,75,524,0,0,0.000000
E,75,548,0,0,0.000000
E,75,572,0,0,0.000000
E,75,596,0,0,0.000000
E,80,0,0,0,0.000000
E,80,20,0,0,0.000000
E,80,40,0,0,0.000000
E,80,60,0,0,0.000000
E,80,80,0,0,0.000000
E,80,100,0,0,0.000000
E,80,120,0,0,0.000000
E,80,140,0,0,0.000000
E,80,160,0,0,0.000000
E,80,180,0,0,0.000000
E,80,200,0,0,0.000000
E,80,220,0,0,0.000000
E,80,240,0,0,0.000000
E,80,261,0,0,0.000000
E,80,280,0,0,0.000000
E,80,300,0,0,0.000000
E,80,320,0,0,0.000000
E,80,340,0,0,0.000000
E,80,360,0,0,0.000000
E,80,381,0,0,0.000000
E,80,405,0,0,0.000000
E,80,428,0,0,0.000000
E,80,453,0,0,0.000000
E,80,477,0,0,0.000000
E,80,500,0,0,0.000000
E,80,525,0,0,0.000000
E,80,548,0,0,0.000000
E,80,572,0,0,0.000000
E,80,596,0,0,0.000000
E,85,0,0,0,0.000000
E,85,20,0,0,0.000000
E,85,40,0,0,0.000000
E,85,60,0,0,0.000000
E,85,80,0,0,0.000000
E,85,100,0,0,0.000000
E,85,120,0,0,0.000000
E,85,140,0,0,0.000000
E,85,160,0,0,0.000000
E,85,180,0,0,0.000000
E,85,200,0,0,0.000000
E,85,220,0,0,0.000000
E,85,240,0,0,0.000000
E,85,260,0,0,0.000000
E,85,280,0,0,0.000000
E,85,300,0,0,0.000000
E,85,320,0,0,0.000000
E,85,340,0,0,0.000000
E,85,360,0,0,0.000000
E,85,381,0,0,0.000000
E,85,404,0,0,0.000000
E,85,428,0,0,0.000000
E,85,452,0,0,0.000000
E,85,476,0,0,0.000000
E,85,499,0,0,0.000000
E,85,524,0,0,0.000000
E,85,548,0,0,0.000000
E,85,571,0,0,0.000000
E,85,596,0,0,0.000000
E,90,0,0,0,0.000000
E,90,20,0,0,0.000000
E,90,40,0,0,0.000000
E,90,60,0,0,0.000000
E,90,80,0,0,0.000000
E,90,100,0,0,0.000000
E,90,120,0,0,0.000000
E,90,140,0,0,0.000000
E,90,160,0,0,0.000000
E,90,180,0,0,0.000000
E,90,200,0,0,0.000000
E,90,220,0,0,0.000000
E,90,240,0,0,0.000000
E,90,260,0,0,0.000000
E,90,280,0,0,0.000000
E,90,300,0,0,0.000000
E,90,321,0,0,0.000000
E,90,340,0,0,0.000000
E,90,360,0,0,0.000000
E,90,380,0,0,0.000000
E,90,404,0,0,0.000000
E,90,428,0,0,0.000000
E,90,453,0,0,0.000000
E,90,476,0,0,0.000000
E,90,500,0,0,0.000000
E,90,524,0,0,0.000000
E,90,548,0,0,0.000000
E,90,571,0,0,0.000000
E,90,596,0,0,0.000000
E,95,0,0,0,0.000000
E,95,20,0,0,0.000000
E,95,40,0,0,0.000000
E,95,60,0,0,0.000000
E,95,80,0,0,0.000000
E,95,100,0,0,0.000000
E,95,120,0,0,0.000000
E,95,140,0,0,0.000000
E,95,160,0,0,0.000000
E,95,181,0,0,0.000000
E,95,200,0,0,0.000000
E,95,220,0,0,0.000000
E,95,240,0,0,0.000000
E,95,260,0,0,0.000000
E,95,280,0,0,0.000000
E,95,300,0,0,0.000000
E,95,320,0,0,0.000000
E,95,340,0,0,0.000000
E,95,360,0,0,0.000000
E,95,380,0,0,0.000000
E,95,405,0,0,0.000000
E,95,428,0,0,0.000000
E,95,453,0,0,0.000000
E,95,476,0,0,0.000000
E,95,500,0,0,0.000000
E,95,525,0,0,0.000000
E,95,548,0,0,0.000000
E,95,572,0,0,0.000000
E,95,596,0,0,0.000000
E,100,0,0,0,0.000000
E,100,20,0,0,0.000000
E,100,40,0,0,0.000000
E,100,60,0,0,0.000000
E,100,80,0,0,0.000000
E,100,100,0,0,0.000000
