PWM,Velocidade_rad_s
-255,-13.991043
-245,-13.487256
-235,-13.459528
-225,-13.271149
-215,-13.071508
-205,-12.726280
-195,-12.464282
-185,-12.311335
-175,-11.971394
-165,-11.407085
-155,-11.317780
-145,-10.801958
-135,-10.354722
-125,-9.847393
-115,-9.115074
-105,-8.449635
-95,-7.411833
-85,-6.309225
-75,-4.919525
-65,-3.291990
-55,-1.453446
-45,0.000000
-35,0.000000
-25,0.000000
-15,0.000000
-5,0.000000
5,0.000000
15,0.000000
25,0.000000
35,0.000000
45,0.000000
55,1.596050
65,2.854204
75,4.090227
85,5.269343
95,6.197505
105,7.299174
115,8.145223
125,8.797196
135,9.203794
145,9.636290
155,10.129610
165,10.570112
175,10.881373
185,11.072436
195,11.407345
205,11.496656
215,11.404983
225,11.843461
235,11.908735
245,11.853960
255,12.321820
